InvoiceID,CustomerID,CreditCard,SupervisorID,Quantity,Price,Freight,OrderDate
1000001,QD91,6398-2073-5868-2297,sup60,73,36.78,14.93,4/21/2018
1000002,ZK34,2940-0109-6859-2059,sup49,39,53.74,16.52,4/19/2018
1000003,IX54,4243-1831-5546-5442,sup79,50,83.03,24.12,4/13/2018
1000004,NG81,5534-6849-5359-2207,sup24,5,83.86,13.15,3/12/2018
1000005,IC42,9330-6598-9150-0481,sup27,8,98.83,29.1,3/10/2018
1000006,RS21,9542-1299-2509-4853,sup96,66,86.31,22.3,3/2/2018
1000007,XK50,7821-8207-5648-3253,sup10,47,66.09,20.79,4/27/2018
1000008,HN43,6650-5058-7290-2824,sup74,62,48.16,19.4,4/20/2018
1000009,LT33,7839-9805-9767-6870,sup58,20,89.28,10.84,3/2/2018
1000010,MB65,2532-5461-5381-8984,sup66,3,84.12,18.3,4/21/2018
1000011,TU53,2843-5598-8141-5097,sup43,64,88.56,19.68,3/26/2018
1000012,MT48,7570-2616-7890-5003,sup11,42,91.18,10.06,4/7/2018
1000013,WX61,9223-7427-2225-2839,sup49,48,98.01,22.37,3/14/2018
1000014,BA47,0828-7275-6585-8578,sup04,58,60.9,28.89,3/29/2018
1000015,KC10,5412-1131-1575-0416,sup11,66,41.59,21.38,3/27/2018
1000016,EP90,8148-5559-8990-7349,sup59,35,88.57,21.35,3/29/2018
1000017,HH63,5951-7827-8622-6330,sup27,37,64.54,21.99,3/22/2018
1000018,DX74,5740-0287-1399-5938,sup52,47,41.56,15.72,3/7/2018
1000019,HU19,0965-3133-3116-5088,sup03,65,64.22,29.9,4/21/2018
1000020,JW68,1215-2421-2984-5262,sup09,61,98.81,21.43,3/25/2018
1000021,LT81,4067-9670-5534-0336,sup56,34,24.44,13.86,3/23/2018
1000022,RK96,5235-5959-8968-9275,sup37,33,93.34,23.6,3/6/2018
1000023,MA95,5493-6068-3036-9702,sup08,5,36.14,21.65,4/16/2018
1000024,TN80,6004-8916-2505-6110,sup98,37,85.36,13.69,3/8/2018
1000025,EJ58,4816-2161-0297-2337,sup10,57,81.78,20.86,4/21/2018
1000026,HA89,2277-0426-3897-6837,sup78,44,52.71,23.07,4/28/2018
1000027,GN41,4473-9201-7339-4919,sup68,92,42.55,13.17,3/24/2018
1000028,VQ70,3534-6095-2073-5496,sup14,77,74.96,24.3,4/12/2018
1000029,IY57,6567-7647-5376-8930,sup66,46,60.18,29.86,4/17/2018
1000030,RP99,2744-0490-9072-3159,sup40,9,82.9,12.08,3/13/2018
1000031,BL53,6292-5834-5127-7436,sup59,7,94.19,15.16,3/8/2018
1000032,XZ23,6792-8686-9521-6294,sup82,36,68.95,11.63,3/9/2018
1000033,JI39,4573-1031-0575-5617,sup41,95,82.21,14.06,3/18/2018
1000034,DS16,9720-6329-2332-8938,sup78,95,91.71,17.59,3/12/2018
1000035,YV64,7639-9159-4196-6691,sup21,47,58.63,27.82,4/17/2018
1000036,JX87,7886-3338-1784-1045,sup15,32,87.65,16.17,4/7/2018
1000037,PJ92,8343-4468-2160-4725,sup33,85,68.75,23.5,3/25/2018
1000038,XB45,2614-0630-6314-9435,sup64,76,77.37,21.51,3/17/2018
1000039,NU42,1065-5895-2349-0730,sup62,92,23.72,23.06,3/30/2018
